,course,rating,students,level,university,skills
0,Python for Everybody,4.8,"2,7 m",Beginner,University of Michigan,Python
1,Google IT Automation with Python,4.7,600 mil,Beginner,Google,Python
2,Python 3 Programming,4.7,350 mil,Beginner,University of Michigan,Python
3,Crash Course on Python,4.8,520 mil,Beginner,Google,Python
4,Data Science Fundamentals with Python and SQL,4.6,570 mil,Beginner,IBM,Python
5,Applied Data Science with Python,4.5,800 mil,Intermediate,University of Michigan,Python
6,Programming for Everybody (Getting Started with Python),4.8,"2,5 m",Mixed,University of Michigan,Python
7,"Python for Data Science, AI & Development",4.6,380 mil,Beginner,IBM,Python
8,IBM Data Science,4.6,"1,1 m",Beginner,IBM,Python
9,Introduction to Programming with Python and Java,4.4,35 mil,Beginner,University of Pennsylvania,Python
10,IBM DevOps and Software Engineering,4.6,470 mil,Beginner,IBM,Python
11,IBM Data Analyst,4.6,720 mil,Beginner,IBM,Python
12,Python Basics,4.8,300 mil,Beginner,University of Michigan,Python
13,Bachelor of Science in Computer Science,None,None,None,University of London,Python
14,Statistics with Python,4.6,110 mil,Beginner,University of Michigan,Python
15,Introduction to Scripting in Python,4.7,110 mil,Beginner,Rice University,Python
16,Data Science Foundations: Data Structures and Algorithms,4.6,12 mil,Advanced,University of Colorado Boulder,Python
17,Django for Everybody,4.7,73 mil,Intermediate,University of Michigan,Python
18,Python Scripting for DevOps,4.2,"3,4 mil",Beginner,LearnQuest,Python
19,Introduction to Python Programming,4.4,24 mil,Beginner,University of Pennsylvania,Python
20,Python for Cybersecurity,4.4,"6,5 mil",Intermediate,Infosec,Python
21,Python and Statistics for Financial Analysis,4.4,120 mil,Intermediate,The Hong Kong University of Science and Technology,Python
22,Master of Science in Machine Learning and Data Science,None,None,None,Imperial College London,Python
23,Python for Data Analysis: Pandas & NumPy,4.4,4 mil,Beginner,Coursera Project Network,Python
24,IBM AI Engineering,4.6,300 mil,Intermediate,IBM,Python
25,Advanced Data Science with IBM,4.3,110 mil,Advanced,IBM,Python
26,Introduction to Python,4.5,29 mil,Beginner,Coursera Project Network,Python
27,Modern Application Development with Python on AWS,4.7,140 mil,Beginner,Amazon Web Services,Python
28,Introducción a la programación en Python I: Aprendiendo a programar con Python,4.4,200 mil,Beginner,Pontificia Universidad Católica de Chile,Python
29,Data Science for Investment Professionals,4.9,"1,6 mil",Beginner,CFA Institute,Python
30,Learn to Program: The Fundamentals,4.7,280 mil,Beginner,University of Toronto,Python
31,Python Data Products for Predictive Analytics,4.2,25 mil,Intermediate,University of California San Diego,Python
32,Master of Computer and Information Technology,None,None,None,University of Pennsylvania,Python
33,Programación en Python,4.7,12 mil,Beginner,Universidad de los Andes,Python
34,Investment Management with Python and Machine Learning,4.6,52 mil,Beginner,EDHEC Business School,Python
35,IBM Data Engineering,4.6,500 mil,Beginner,IBM,Python
36,Facebook Marketing Analytics,4.7,16 mil,Beginner,Meta,Python
37,Introdução à Ciência da Computação com Python Parte 1,4.9,190 mil,Beginner,Universidade de São Paulo,Python
38,Programming in Python: A Hands-on Introduction,4.5,"5,3 mil",Beginner,Codio,Python
39,Python Classes and Inheritance,4.7,75 mil,Intermediate,University of Michigan,Python
40,Machine Learning,4.9,"4,7 m",Mixed,Stanford University,Python
41,Data Analysis with Python,4.7,230 mil,Beginner,IBM,Python
42,Python Data Structures,4.9,830 mil,Mixed,University of Michigan,Python
43,Exploratory Data Analysis With Python and Pandas,4.6,"7,6 mil",Beginner,Coursera Project Network,Python
44,DeepLearning.AI TensorFlow Developer,4.7,330 mil,Intermediate,DeepLearning.AI,Python
45,Databases and SQL for Data Science with Python,4.6,240 mil,Beginner,IBM,Python
46,Python Project for Data Science,4.5,54 mil,Intermediate,IBM,Python
47,Using Python to Access Web Data,4.8,550 mil,Mixed,University of Michigan,Python
48,Introduction to Data Science in Python,4.5,660 mil,Intermediate,University of Michigan,Python
49,Using Python to Interact with the Operating System,4.7,130 mil,Beginner,Google,Python
50,Fundamentos de Ciencia de Datos con Python y SQL,4.3,"4,6 mil",Beginner,IBM,Python
51,Data Visualization with Python,4.5,150 mil,Intermediate,IBM,Python
52,Introduction to Portfolio Construction and Analysis with Python,4.8,44 mil,Mixed,EDHEC Business School,Python
53,Using Databases with Python,4.8,410 mil,Mixed,University of Michigan,Python
54,Aprende a programar con Python,4.5,49 mil,Beginner,Universidad Austral,Python
55,Foundations of Data Science: K-Means Clustering in Python,4.7,27 mil,Beginner,University of London,Python
56,Understanding and Visualizing Data with Python,4.7,97 mil,Beginner,University of Michigan,Python
57,用 Python 做商管程式設計（一）(Programming for Business Computing in Python (1)),4.9,27 mil,Beginner,National Taiwan University,Python
58,Python for Genomic Data Science,4.3,46 mil,Mixed,Johns Hopkins University,Python
59,Data Analysis Using Python,4.6,"7,6 mil",Beginner,University of Pennsylvania,Python
60,Python Project for Data Engineering,4.6,"9,3 mil",Intermediate,IBM,Python
61,"Capstone: Retrieving, Processing, and Visualizing Data with Python",4.7,220 mil,Mixed,University of Michigan,Python
62,Design Computing: 3D Modeling in Rhinoceros with Python/Rhinoscript,5,"8,6 mil",Mixed,University of Michigan,Python
63,"Python Functions, Files, and Dictionaries",4.8,85 mil,Beginner,University of Michigan,Python
64,COVID19 Data Analysis Using Python,4.5,28 mil,Intermediate,Coursera Project Network,Python
65,Create Your First Web App with Python and Flask,4.5,13 mil,Intermediate,Coursera Project Network,Python
66,Inferential Statistical Analysis with Python,4.6,32 mil,Intermediate,University of Michigan,Python
67,Create a Boggle Word Solver using recursion in Python,4.4,"2,8 mil",Intermediate,Coursera Project Network,Python
68,Practical Python for AI Coding 1,4.7,"1,9 mil",Beginner,Korea Advanced Institute of Science and Technology(KAIST),Python
69,Applied Machine Learning in Python,4.6,250 mil,Intermediate,University of Michigan,Python
70,Introducción a la programación con Python,4.6,39 mil,Beginner,Universidad Austral,Python
71,"Applied Plotting, Charting & Data Representation in Python",4.5,160 mil,Intermediate,University of Michigan,Python
72,Data Collection and Processing with Python,4.7,62 mil,Intermediate,University of Michigan,Python
73,Python Programming Essentials,4.8,75 mil,Beginner,Rice University,Python
74,用Python玩转数据 Data Processing Using Python,4.7,84 mil,Mixed,Nanjing University,Python
75,COVID19 Data Visualization Using Python,4.6,"3,3 mil",Intermediate,Coursera Project Network,Python
76,Game Theory with Python,4.3,"6,6 mil",Intermediate,Coursera Project Network,Python
77,Advanced Portfolio Construction and Analysis with Python,4.8,16 mil,Intermediate,EDHEC Business School,Python
78,Robot Localization with Python and Particle Filters,4.4,None,Advanced,Coursera Project Network,Python
79,Data Processing Using Python,4.1,56 mil,Beginner,Nanjing University,Python
80,Python and Machine Learning for Asset Management,3.1,13 mil,Intermediate,EDHEC Business School,Python
81,Build a Data Science Web App with Streamlit and Python,4.6,14 mil,Intermediate,Coursera Project Network,Python
82,"Problem Solving, Python Programming, and Video Games",4.2,36 mil,Beginner,University of Alberta,Python
83,An Introduction to Interactive Programming in Python (Part 1),4.8,200 mil,Mixed,Rice University,Python
84,"Python Project: pillow, tesseract, and opencv",4,53 mil,Intermediate,University of Michigan,Python
85,Python Data Representations,4.7,21 mil,Beginner,Rice University,Python
86,Automating Real-World Tasks with Python,4.8,46 mil,Beginner,Google,Python
87,Sentimental Analysis on COVID-19 Tweets using python,4.6,None,Intermediate,Coursera Project Network,Python
88,Create Interactive Dashboards with Streamlit and Python,4.7,"8,5 mil",Intermediate,Coursera Project Network,Python
89,Create Your First Chatbot with Rasa and Python,4.5,17 mil,Beginner,Coursera Project Network,Python
90,Build a Machine Learning Web App with Streamlit and Python,4.7,"9,9 mil",Intermediate,Coursera Project Network,Python
91,Python para Data Science y AI,4.8,"2,1 mil",Beginner,IBM,Python
92,Introduction to Python for Cybersecurity,4.4,"6,1 mil",Intermediate,Infosec,Python
93,Python Data Analysis,4.7,33 mil,Beginner,Rice University,Python
94,Create an interactive fiction adventure game with Python,4.6,3 mil,Beginner,Coursera Project Network,Python
95,Using SAS Viya REST APIs with Python and R,4.6,"3,1 mil",Mixed,SAS,Python
96,Python for Data Visualization: Matplotlib & Seaborn,4.7,None,Beginner,Coursera Project Network,Python
97,Python for Finance: Beta and Capital Asset Pricing Model,4.6,None,Beginner,Coursera Project Network,Python
98,"Concepts in Python: Loops, Functions and Returns",4.7,"2,6 mil",Beginner,Coursera Project Network,Python
99,Introduction to Customer Segmentation in Python,4.6,None,Beginner,Coursera Project Network,Python
100,None,4.7,110 mil,Mixed,"University of California, Irvine",Python
101,Advanced Python Scripting for Cybersecurity,4.1,None,Beginner,Infosec,Python
102,用 Python 做商管程式設計（二）(Programming for Business Computing in Python (2)),4.6,"7,9 mil",Intermediate,National Taiwan University,Python
103,用 Python 做商管程式設計（三）(Programming for Business Computing in Python (3)),4.9,"5,9 mil",Mixed,National Taiwan University,Python
104,Logistic Regression with Python and Numpy,4.5,"5,7 mil",Intermediate,Coursera Project Network,Python
105,Introduction to Python Scripting for DevOps,4.3,"2,5 mil",Beginner,LearnQuest,Python
106,Linear Regression with NumPy and Python,4.4,16 mil,Intermediate,Coursera Project Network,Python
107,Image Denoising Using AutoEncoders in Keras and Python,4.5,"6,6 mil",Intermediate,Coursera Project Network,Python
108,Create a Python Application using MySQL,4.5,5 mil,Intermediate,Coursera Project Network,Python
109,Language Classification with Naive Bayes in Python,4.5,"6,1 mil",Intermediate,Coursera Project Network,Python
110,Create Your First Game with Python,4.5,12 mil,Intermediate,Coursera Project Network,Python
111,Creating a Wordcloud using NLP and TF-IDF in Python,None,None,Beginner,Coursera Project Network,Python
112,Exception Handling in Python,4.7,2 mil,Intermediate,Coursera Project Network,Python
113,Crime Zone Heatmaps with Python and Folium,None,None,Beginner,Coursera Project Network,Python
114,FIFA20 Data Exploration using Python,4.6,"1,9 mil",Beginner,Coursera Project Network,Python
115,Processing Data with Python,4.4,"5,7 mil",Intermediate,Coursera Project Network,Python
116,Introduction to Data Science and scikit-learn in Python,3.8,None,Beginner,LearnQuest,Python
117,GUI programming: Create a Calculator in Python,4.8,None,Intermediate,Coursera Project Network,Python
118,"Python Scripting: Dates, Classes and Collections",4.4,None,Beginner,LearnQuest,Python
119,Clustering Geolocation Data Intelligently in Python,4.5,10 mil,Intermediate,Coursera Project Network,Python
120,Basic Statistics in Python (ANOVA),4.4,None,Beginner,Coursera Project Network,Python
121,Build a Bot in Python for Basic File and Interface Chores,None,None,Intermediate,Coursera Project Network,Python
122,Support Vector Machine Classification in Python,4.4,6 mil,Intermediate,Coursera Project Network,Python
123,Version Control of a Python Project using Git,4.4,"1,8 mil",Intermediate,Coursera Project Network,Python
124,"Merge, Sort and Filter Data in Python Pandas",4.5,"3,4 mil",Intermediate,Coursera Project Network,Python
125,Determine Shortest Paths Between Routers Using Python,4.6,None,Intermediate,Coursera Project Network,Python
126,Data Analysis in Python with pandas & matplotlib in Spyder,2.8,None,Beginner,Codio,Python
127,"Reverse and complement nucleic acid sequences (DNA, RNA) using Python",4.4,None,Beginner,Coursera Project Network,Python
128,Accounting Data Analytics with Python,4.1,"8,6 mil",Intermediate,University of Illinois at Urbana-Champaign,Python
129,Neural Network Visualizer Web App with Python,4.5,"6,5 mil",Intermediate,Coursera Project Network,Python
130,Python Data Structures,4.4,"8,4 mil",Intermediate,Coursera Project Network,Python
131,Class Creation in Object Oriented Python,4.3,"2,7 mil",Beginner,Coursera Project Network,Python
132,Data Visualization with Python,4.5,"7,7 mil",Intermediate,Coursera Project Network,Python
133,Basic Statistics in Python (Correlations and T-tests),4.3,None,Beginner,Coursera Project Network,Python
134,Aprendiendo Python con estadística descriptiva,4.7,None,Beginner,Coursera Project Network,Python
135,Creando simulaciones con python,None,None,Intermediate,Coursera Project Network,Python
136,Image Compression and Generation using Variational Autoencoders in Python,4.7,"3,2 mil",Intermediate,Coursera Project Network,Python
137,Estructuras de datos en Python,4.5,14 mil,Beginner,Universidad Austral,Python
138,"Python Scripting: Files, Inheritance, and Databases",4.7,None,Beginner,LearnQuest,Python
139,Create Python Linux Script to Generate a Disk Usage Report,4.5,"4,4 mil",Intermediate,Coursera Project Network,Python
140,Regex Python - Découvrir les Expressions Régulières,4.8,None,Beginner,Coursera Project Network,Python
141,"Classification Trees in Python, From Start To Finish",4.6,9 mil,Intermediate,Coursera Project Network,Python
142,Create a Memory Puzzle Game in Python Using Pygame,4.3,"1,7 mil",Intermediate,Coursera Project Network,Python
143,Big-O Time Complexity in Python Code,4.6,None,Intermediate,Coursera Project Network,Python
144,Análisis de datos con Python,4.6,"1,6 mil",Beginner,IBM,Python
145,Python 101: Develop Your First Python Program,4.7,"3,7 mil",Beginner,Coursera Project Network,Python
146,Create Your First Python Program From UST,4.6,30 mil,Beginner,Coursera Project Network,Python
147,An Introduction to Interactive Programming in Python (Part 2),4.9,47 mil,Beginner,Rice University,Python
148,Object-Oriented Python: Inheritance and Encapsulation,4.3,"2,1 mil",Intermediate,Codio,Python
149,Programación Orientada a Objetos con Python,4,14 mil,Beginner,Universidad Austral,Python
150,Manejo de bases de datos con Python,4.2,13 mil,Beginner,Universidad Austral,Python
151,Compose and Program Music in Python using Earsketch,4.5,13 mil,Beginner,Coursera Project Network,Python
152,Improve Your Python Code Using Amazon CodeGuru,4.6,"2,1 mil",Intermediate,Amazon Web Services,Python
153,Uso de Python para Acceder a Datos Web,None,None,Mixed,University of Michigan,Python
154,Python Basics: Create a Guessing Number Game from Scratch,4.6,"3,5 mil",Beginner,Coursera Project Network,Python
155,Python para a Ciência de Dados e IA,None,None,Beginner,IBM,Python
156,Python Basics: Selection and Iteration,4.6,"2,8 mil",Beginner,Codio,Python
157,Global Warming II: Create Your Own Models in Python,4.1,13 mil,Mixed,The University of Chicago,Python
158,Python Database Connection with MariaDB From Infosys,4.7,"2,2 mil",Intermediate,Coursera Project Network,Python
159,"Python Object Basics: Functions, Recursion, and Objects",4.8,None,Intermediate,Codio,Python
160,Database Operations in MariaDB Using Python From Infosys,4.6,"1,8 mil",Advanced,Coursera Project Network,Python
161,Use Python Regular Expressions to Process File Data,3.3,None,Intermediate,Coursera Project Network,Python
162,"Python Basic Structures: Lists, Strings, and Files",4.4,None,Beginner,Codio,Python
163,Python for Active Defense,4.4,None,Intermediate,Infosec,Python
164,"Where, Why, and How of Lambda Functions in Python",None,None,Beginner,Coursera Project Network,Python
165,Python에서 데이터베이스 사용하기,None,None,Mixed,University of Michigan,Python
166,Statistical Analysis using Python Numpy,None,None,Intermediate,Coursera Project Network,Python
167,Python Dynamic HTML Web Server,4.5,6 mil,Beginner,Coursera Project Network,Python
168,Python: обработка и анализ данных и ИИ,None,None,Beginner,IBM,Python
169,Python Scripting for DevOps,4.3,None,Intermediate,Coursera Project Network,Python
170,Dice Game in Python,4.5,None,Beginner,Coursera Project Network,Python
171,Работа с базами данных в Python,None,None,Mixed,University of Michigan,Python
172,Визуализация данных с помощью Python,None,None,Intermediate,IBM,Python
173,"Support Vector Machines in Python, From Start to Finish",4.6,"4,6 mil",Intermediate,Coursera Project Network,Python
174,Analyze Box Office Data with Plotly and Python,4.5,"8,5 mil",Beginner,Coursera Project Network,Python
175,Snake game in Python: use Pygame to build your game,None,None,Intermediate,Coursera Project Network,Python
176,Primeros pasos en Python,4.6,None,Beginner,Coursera Project Network,Python
177,Aprendiendo Python con bases de datos,4.7,None,Beginner,Coursera Project Network,Python
178,Create Beautiful Data Visualizations with Python and Altair,None,None,Intermediate,Coursera Project Network,Python
179,Implementing Hangman Game Using Basics of Python 3,4.5,None,Beginner,Coursera Project Network,Python
180,Aprendiendo Python con álgebra lineal,4.6,None,Beginner,Coursera Project Network,Python
181,Introduction to Search Techniques in Python: Binary Search,None,None,Beginner,Coursera Project Network,Python
182,Aprendiendo Python con circuitos digitales,4.8,None,Beginner,Coursera Project Network,Python
183,Create a Connect Four Game in Python using Pygame,None,None,Intermediate,Coursera Project Network,Python
184,Creating a Word Jumble Game in Python Using Tkinter GUI,None,None,Beginner,Coursera Project Network,Python
185,Machine Learning with Python,4.7,250 mil,Intermediate,IBM,Python
186,Statistics for Data Science with Python,4.6,12 mil,Mixed,IBM,Python
