,course,rating,students,level,university,skills
0,Machine Learning,4.9,"4,7 m",Mixed,Stanford University,Machine Learning
1,IBM Machine Learning,4.6,37 mil,Intermediate,IBM,Machine Learning
2,Machine Learning,4.6,430 mil,Intermediate,University of Washington,Machine Learning
3,Deep Learning,4.8,"1,2 m",Intermediate,DeepLearning.AI,Machine Learning
4,Mathematics for Machine Learning,4.6,300 mil,Beginner,Imperial College London,Machine Learning
5,Machine Learning for All,4.7,110 mil,Beginner,University of London,Machine Learning
6,Applied Data Science with Python,4.5,800 mil,Intermediate,University of Michigan,Machine Learning
7,Machine Learning Engineering for Production (MLOps),4.7,47 mil,Advanced,DeepLearning.AI,Machine Learning
8,Google Data Analytics,4.8,740 mil,Beginner,Google,Machine Learning
9,Deep Learning for Healthcare,None,None,Advanced,University of Illinois at Urbana-Champaign,Machine Learning
10,IBM Data Science,4.6,"1,1 m",Beginner,IBM,Machine Learning
11,Data Science,4.5,"1,2 m",Beginner,Johns Hopkins University,Machine Learning
12,Introduction to Machine Learning: Supervised Learning,None,None,Intermediate,University of Colorado Boulder,Machine Learning
13,Preparing for Google Cloud Certification: Machine Learning Engineer,4.6,350 mil,Intermediate,Google Cloud,Machine Learning
14,IBM Introduction to Machine Learning,4.6,33 mil,Intermediate,IBM,Machine Learning
15,Advanced Machine Learning on Google Cloud,4.4,69 mil,Advanced,Google Cloud,Machine Learning
16,IBM AI Engineering,4.6,300 mil,Intermediate,IBM,Machine Learning
17,DeepLearning.AI TensorFlow Developer,4.7,330 mil,Intermediate,DeepLearning.AI,Machine Learning
18,Generative Adversarial Networks (GANs),4.7,40 mil,Intermediate,DeepLearning.AI,Machine Learning
19,Bachelor of Science in Computer Science,None,None,None,University of London,Machine Learning
20,IBM Data Analyst,4.6,720 mil,Beginner,IBM,Machine Learning
21,Applied Machine Learning in Python,4.6,250 mil,Intermediate,University of Michigan,Machine Learning
22,Google Cloud Digital Leader Training,4.8,37 mil,Beginner,Google Cloud,Machine Learning
23,Unsupervised Machine Learning for Customer Market Segmentation,4.8,"9,8 mil",Beginner,Coursera Project Network,Machine Learning
24,Machine Learning with Python,4.7,250 mil,Intermediate,IBM,Machine Learning
25,AI Product Management,4.5,"4,9 mil",Beginner,Duke University,Machine Learning
26,"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning",4.7,280 mil,Intermediate,DeepLearning.AI,Machine Learning
27,Machine Learning for Telecom Customers Churn Prediction,4.5,None,Beginner,Coursera Project Network,Machine Learning
28,Introduction to Machine Learning,4.7,160 mil,Intermediate,Duke University,Machine Learning
29,Google IT Automation with Python,4.7,600 mil,Beginner,Google,Machine Learning
30,Master of Computer and Information Technology,None,None,None,University of Pennsylvania,Machine Learning
31,Reinforcement Learning,4.7,64 mil,Intermediate,University of Alberta,Machine Learning
32,Fake News Detection with Machine Learning,4.6,"8,8 mil",Beginner,Coursera Project Network,Machine Learning
33,Hands-on Machine Learning with Google Cloud Labs,3.8,3 mil,Intermediate,Google Cloud,Machine Learning
34,First Principles of Computer Vision,4.8,3 mil,Beginner,Columbia University,Machine Learning
35,Introduction to Machine Learning: Language Processing,3.9,"2,8 mil",Beginner,Google Cloud,Machine Learning
36,Introduction to Statistics,4.6,100 mil,Beginner,Stanford University,Machine Learning
37,Advanced Statistics for Data Science,4.4,95 mil,Advanced,Johns Hopkins University,Machine Learning
38,Practical Data Science with MATLAB,4.7,39 mil,Beginner,MathWorks,Machine Learning
39,SAS Statistical Business Analyst,4.6,"6,1 mil",Intermediate,SAS,Machine Learning
40,Breast Cancer Prediction Using Machine Learning,4.3,None,Intermediate,Coursera Project Network,Machine Learning
41,Facebook Marketing Analytics,4.7,16 mil,Beginner,Meta,Machine Learning
42,Python 3 Programming,4.7,350 mil,Beginner,University of Michigan,Machine Learning
43,Data Science at Scale,4.2,83 mil,Intermediate,University of Washington,Machine Learning
44,Data Science: Statistics and Machine Learning,4.4,290 mil,Intermediate,Johns Hopkins University,Machine Learning
45,Hands-on Foundations for Data Science and Machine Learning with Google Cloud Labs,4.3,"4,6 mil",Intermediate,Google Cloud,Machine Learning
46,"Data Engineering, Big Data, and Machine Learning on GCP",4.6,250 mil,Intermediate,Google Cloud,Machine Learning
47,Introduction to Machine Learning in Production,4.8,44 mil,Advanced,DeepLearning.AI,Machine Learning
